wl,n
0.4,2.5
0.42,2.481
0.44,2.462
0.46,2.443
0.48,2.424
0.5,2.405
0.52,2.395
0.54,2.385
0.56,2.378
0.58,2.37
0.6,2.363
0.62,2.358
0.64,2.352
0.66,2.348
0.68,2.344
0.7,2.34
0.72,2.337
0.74,2.332
0.76,2.33
0.78,2.328
0.8,2.324
0.82,2.322
0.84,2.32
0.86,2.318
0.88,2.317
0.9,2.314
0.92,2.312
0.94,2.311
0.96,2.309
0.98,2.308
1,2.307
